"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"Q1";"SOT-323_SC-70";1;"DMG1013UW-7";;;
2;"R12,R15,R17,R13,R16,R19,R11,R22,R10,R20,R9,R6,R21,R18,R1,R8,R14,R7";"R_0402_1005Metric";18;"0402WGF2000TCE";;;
3;"R5,R2";"R_0402_1005Metric";2;"0402WGF1003TCE";;;
4;"Q4,Q3";"SOT-323_SC-70";2;"BC817-40W,115";;;
5;"D7,D17,D12,D8,D15,D11,D10,D4,D2,D0,D13,D14,D1,D5,D9,D16,D6,D3";"LED_LY L29K_MUR";18;"LY L29K-H1K2-26-0-2-R18-Z";;;
6;"R4,R3";"R_0402_1005Metric";2;"0402WGF1004TCE";;;
7;"Q5,Q2";"SOT-323_SC-70";2;"L2N7002WT1G";;;
8;"C3,C1";"C_0402_1005Metric";2;"CC0402JRX7R7BB104";;;
9;"IC1";"SOT95P285X126-6N";1;"TTP223-TD";;;
10;"C2";"C_0402_1005Metric";1;"CL05C220JB5NNNC";;;
