Comment,Designator,Footprint,LCSC,Quantity
0402WGF1003TCE,"R2,R5",R_0402_1005Metric,C25741,2
0402WGF1004TCE,"R3,R4",R_0402_1005Metric,C26083,2
"BC817-40W,115","Q3,Q4",SOT-323_SC-70,C53113961,2
CC0402JRX7R7BB104,"C1,C3",C_0402_1005Metric,C541464,2
CL05C220JB5NNNC,C2,C_0402_1005Metric,C70464,1
DMG1013UW-7,Q1,SOT-323_SC-70,C211434,1
L2N7002WT1G,"Q2,Q5",SOT-323_SC-70,C12778,2
LY L29K-H1K2-26-0-2-R18-Z,"D1,D10,D16,D2,D6",LED_LY L29K_MUR,C2900144,5
TTP223-TD,IC1,SOT95P285X126-6N,C42422128,1
0402WGF3300TCE,R17,R_0402_1005Metric,,1
0402WGF3300TCE,R13,R_0402_1005Metric,,1
0402WGF3300TCE,R16,R_0402_1005Metric,,1
0402WGF3300TCE,R1,R_0402_1005Metric,,1
0402WGF3300TCE,R7,R_0402_1005Metric,,1
